onset	duration	trial_type	value	sample
11.515625	0.6	Target	2	5896
13.609375	0.6	Target	2	6968
16.0390625	0.6	NonTarget	1	8212
18.4296875	0.6	NonTarget	1	9436
20.9921875	0.6	Target	2	10748
23.484375	0.6	Target	2	12024
26.3984375	0.6	Target	2	13516
31.203125	0.6	Target	2	15976
33.9375	0.6	Target	2	17376
39.375	0.6	Target	2	20160
41.5	0.6	Target	2	21248
46.3984375	0.6	Target	2	23756
48.8984375	0.6	Target	2	25036
54.1171875	0.6	Target	2	27708
57.0078125	0.6	NonTarget	1	29188
59.265625	0.6	Target	2	30344
61.53125	0.6	Target	2	31504
64.1328125	0.6	Target	2	32836
68.8671875	0.6	NonTarget	1	35260
71.109375	0.6	NonTarget	1	36408
73.296875	0.6	Target	2	37528
75.515625	0.6	Target	2	38664
77.625	0.6	Target	2	39744
80.0859375	0.6	Target	2	41004
85.71875	0.6	Target	2	43888
87.859375	0.6	Target	2	44984
90.3046875	0.6	NonTarget	1	46236
93.125	0.6	NonTarget	1	47680
95.578125	0.6	NonTarget	1	48936
98.3515625	0.6	Target	2	50356
100.5390625	0.6	Target	2	51476
103.359375	0.6	Target	2	52920
105.65625	0.6	Target	2	54096
110.7578125	0.6	Target	2	56708
113.625	0.6	Target	2	58176
116.3203125	0.6	Target	2	59556
121.09375	0.6	Target	2	62000
123.609375	0.6	Target	2	63288
128.5703125	0.6	NonTarget	1	65828
131.1875	0.6	Target	2	67168
133.375	0.6	Target	2	68288
136.1953125	0.6	Target	2	69732
138.4609375	0.6	Target	2	70892
142.5234375	0.6	Target	2	72972
145.03125	0.6	Target	2	74256
147.484375	0.6	Target	2	75512
152.9453125	0.6	Target	2	78308
155.20703125	0.6	Target	2	79466
157.31640625	0.6	Target	2	80546
162.0546875	0.6	Target	2	82972
164.7265625	0.6	Target	2	84340
169.09765625	0.6	Target	2	86578
171.7109375	0.6	Target	2	87916
174.6875	0.6	Target	2	89440
179.921875	0.6	NonTarget	1	92120
182.3359375	0.6	Target	2	93356
184.9140625	0.6	Target	2	94676
